Question,Type,Response
Better Place to Work Analysis,Improve/Good,   To create balance in leadership opportunities  which would help make the environment more conducive to everyone. 
Culture Analysis,Improve/Good,  People create culture  Consistently creates culture Accountability creates culture  Honesty creates culture & Respect creats culture.
Reward & Recognition,Improve/Good," been my experience here that the Reds go over and above in this area. I don't understand anyone having complaints here. If they do, they should try somewhere else."
Reward & Recognition,Improve/Good,"'- Monthly prizes and incentives
- Maybe select a ""department of the month"" to recognize big accomplishments (ex. sold out star wars - recognize ticketing or marketing for their efforts - give the department a free lunch or something
- Monthly option to select a free piece of reds gear (not an expensive item, maybe a t shirt or hat)"
Culture Analysis,Improve," More town hall meetings. These are helpful & informative. More lunch & learns, The Boys of Summer event was excellent, inspiring, good to get together with other team members. _____says stuff and we have to deal with all of the crappy stuff. He makes a mess and does not talk to us. I like my team, we do a lot of cool stuff, our department is a fun place to work. When the team has a day game away have a Reds luncheon in Bally's. This would be fun team building. Have a raffle for things like who will get the first hit, number  of pitches thrown in the first inning who will hit the first single etc. Schedule some events with the players & coaches. I like the Reds and would really like to meet some of the players & coaches. Schedule a town hall or luncheon just focused on baseball, it would be good to hear from Nick Krall, David Bell, Joey Votto, Johnathan India, etc. Take one day for all of the staff to go to Kings Island , museum, Smale park, etc. for team building, play games. "
Better Place to Work Analysis,Very Good," Overall, I've been pleased and grateful to work in Cincinnati.  "
Morale Analysis,Improve,"- Ownership's unwillingness to spend on players has been not only embarrassing, but detrimental to our careers/earnings here. Some trades are necessary in how baseball operates, but too many in the past few years were 100% obvious payroll reduction trades.  It's sad that our GM has to say we are aligning ""our payroll to our resources"". I'm glad he felt comfortable saying that so he doesn't have to fall on the sword for ownership.\
- I wonder what percentage of employees cannot even see a window or outside while they work here.  I have no idea if it's sunny or raining out.  Sunshine is vital for happiness. I work in a depressing drywall/foam board room in the executive offices.  I might as well work in the basement somewhere. In the winter, I can go a full day without seeing daylight while at work. 
After seeing other sports team's offices, it's depressing coming back to ours.
- The office space in general is very outdated.  Large metal filing cabinets, old linoleum desks, drywall everywhere, fluorescent tube lights. This place needs a major overhaul.  A quick google search of ""modern office design"" would show you what our offices could look like.
- Also, there is no break room here. Nowhere to eat lunch other than our desks or press dining (and no one wants to eat at press dining on non-game days).  The Reds depend on the fact that ""we are a baseball team"" to have high morale. 
- If you don't have a private office, but you need privacy for work or a call, there is nowhere to go. No privacy pods for calls or work. You can try to book one of our one meeting spaces (1B...literally that's it), but if it's booked then good luck.  The irony of 1B being called that when there is not a 1A anymore is amazing.
- The visitors weight room is NOT a good place to work out. It's also closed for about 90+ days out of the year.  Not having decent gym access (despite the Reds Total Rewards saying so), is a huge downside.  Planet Fitness is gross, but I still try to go there.  A staff gym would go a loooong way."
Reward & Recognition,Improve/Good,"- Something small would be appreciated on each year anniversary.  Shouldn't wait 5 years for a paper weight. Something nice like a Montgomery Inn gift card would go a long way.

- Otherwise, I don't feel the need for recognition by peers or management, but I know others like that so they'd be a better judge than I."
Culture Analysis,Improve,"	We do reviews for staff, but we do not practice/encourage/engage feedback upward
	Implementing 360-degree reviews is not the answer. We must begin with practicing and valuing feedback without retaliation from leadership. 
	To give and receive truly candid feedback, people must feel a sense of safety and trust
If feedback is something that happens only at unusual times (such as a performance review or when somethings gone wrong), it'll never really be an organic part of our culture.
	Leadership ca't just sit back and wait for feedback. If we truly want feedback to take root in the culture, we need to explicitly ask for it over and over and over again. 
	Start small, feedack isn'tpartf o our culture now and it is going to take a while. We must practice giving feedback (positive and negative), and receiving it, and learn how to communicate in an appropriate and collaborative manner.
	To become more effective and fulfilled at work, people need a keen understanding of their impact on others 
Work From Home options supported by leadership
	Trusting employees leads to a positive narrative around working from home
	Our career requires us to work nights and weekend year-round (not just in season). We are happy to flex our schedules to the ever-changing demands of our career. If the organization would recognize and flex to the employees quality of life, that would be wonderful.  
Working from home improves work-life balance, increases productivity, and fosters healthier lifestyle"
Culture Analysis,Improve/Good,"
Leadership fires people up and gets them excited and has a way of thanking and recognizing them that is appreciated. "
